#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 14 10 15 100  1.0  2.0   0.1    MM    MM  MM     MM  20.0    MM  17.0   MM   MM    MM
2017 06 14 10 00 110  1.0  3.0   0.1    MM    MM  MM     MM  19.8    MM  16.5   MM   MM    MM
2017 06 14 09 53 100  1.0  2.0   0.1    MM    MM  MM     MM  20.0    MM  17.0   MM   MM    MM
2017 06 14 09 45  10  1.0  2.0   0.1    MM    MM  MM     MM  19.7    MM  16.3   MM   MM    MM
2017 06 14 09 30 360  2.0  3.0   0.1    MM    MM  MM     MM  19.9    MM  16.3   MM   MM    MM
2017 06 14 09 00  10  3.0  4.0   0.1    MM    MM  MM     MM  19.8    MM  16.6   MM   MM    MM
2017 06 14 08 53 360  3.0  4.0   0.1    MM    MM  MM     MM  19.6    MM  16.5   MM   MM    MM
2017 06 14 08 45  20  3.0  4.0   0.1    MM    MM  MM     MM  19.9    MM  16.9   MM   MM    MM
2017 06 14 08 30  30  4.0  5.0   0.1    MM    MM  MM     MM  20.2    MM  17.1   MM   MM    MM
2017 06 14 07 53  30  4.0  5.0   0.1    MM    MM  MM     MM  20.5    MM  17.3   MM   MM    MM
2017 06 14 07 45  30  4.0  5.0   0.1    MM    MM  MM     MM  20.5    MM  17.5   MM   MM    MM
2017 06 14 07 15  40  1.0  2.0   0.1    MM    MM  MM     MM  21.5    MM  17.3   MM   MM    MM
2017 06 14 07 00  50  1.0  2.0   0.1    MM    MM  MM     MM  21.1    MM  17.2   MM   MM    MM
2017 06 14 06 53  40  1.0  2.0   0.1    MM    MM  MM     MM  21.5    MM  17.3   MM   MM    MM
2017 06 14 06 30 110  1.0  2.0   0.1    MM    MM  MM     MM  21.2    MM  17.3   MM   MM    MM
2017 06 14 06 15  MM  0.0  2.0   0.1    MM    MM  MM     MM  21.8    MM  17.3   MM   MM    MM
2017 06 14 06 00  40  1.0  2.0   0.1    MM    MM  MM     MM  22.3    MM  17.4   MM   MM    MM
2017 06 14 05 53  MM  0.0  2.0   0.1    MM    MM  MM     MM  21.8    MM  17.3   MM   MM    MM
2017 06 14 05 45  50  1.0  2.0   0.1    MM    MM  MM     MM  22.2    MM  17.5   MM   MM    MM
2017 06 14 05 30  50  1.0  2.0   0.1    MM    MM  MM     MM  22.1    MM  17.5   MM   MM    MM
2017 06 14 04 53 360  2.0  3.0   0.1    MM    MM  MM     MM  22.3    MM  17.5   MM   MM    MM
2017 06 14 04 30 330  2.0  4.0   0.1    MM    MM  MM     MM  23.8    MM  18.4   MM   MM    MM
2017 06 14 04 15 270  2.0  2.0   0.1    MM    MM  MM     MM  24.0    MM  18.9   MM   MM    MM
2017 06 14 04 00 320  1.0  2.0   0.1    MM    MM  MM     MM  24.9    MM  18.9   MM   MM    MM
2017 06 14 03 53 320  1.0  2.0   0.1    MM    MM  MM     MM  24.9    MM  18.9   MM   MM    MM
2017 06 14 00 15 270  3.0  3.0   0.2    MM    MM  MM     MM  22.8    MM  19.5   MM   MM    MM
2017 06 13 23 30 220  4.0  5.0   0.2    MM    MM  MM     MM  23.6    MM  19.5   MM   MM    MM
2017 06 13 23 23 220  4.0  5.0   0.2    MM    MM  MM     MM  23.6    MM  19.5   MM   MM    MM
2017 06 13 23 00 230  4.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  19.5   MM   MM    MM
2017 06 13 22 30 230  5.0  7.0   0.2    MM    MM  MM     MM  24.2    MM  19.5   MM   MM    MM
2017 06 13 22 23 230  4.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  19.5   MM   MM    MM
2017 06 13 21 15 210  5.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  19.2   MM   MM    MM
2017 06 13 20 53 210  5.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  19.2   MM   MM    MM
2017 06 13 20 30 230  5.0  5.0   0.3    MM    MM  MM     MM  24.6    MM  19.0   MM   MM    MM
2017 06 13 20 15 230  5.0  6.0   0.2    MM    MM  MM     MM  24.8    MM  18.9   MM   MM    MM
2017 06 13 19 53 230  5.0  6.0   0.2    MM    MM  MM     MM  24.8    MM  18.9   MM   MM    MM
2017 06 13 19 45 230  5.0  5.0   0.2    MM    MM  MM     MM  24.4    MM  18.8   MM   MM    MM
2017 06 13 19 30 240  5.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  18.8   MM   MM    MM
2017 06 13 19 00 240  5.0  5.0   0.2    MM    MM  MM     MM  24.1    MM  18.9   MM   MM    MM
2017 06 13 18 53 240  5.0  5.0   0.2    MM    MM  MM     MM  24.2    MM  18.8   MM   MM    MM
2017 06 13 18 30 240  4.0  5.0   0.1    MM    MM  MM     MM  23.7    MM  18.9   MM   MM    MM
2017 06 13 13 15 250  4.0  4.0   0.1    MM    MM  MM     MM  20.2    MM  18.0   MM   MM    MM
2017 06 13 12 53 250  4.0  4.0   0.1    MM    MM  MM     MM  20.2    MM  18.0   MM   MM    MM
2017 06 13 12 30 260  4.0  4.0   0.1    MM    MM  MM     MM  20.0    MM  18.0   MM   MM    MM
2017 06 13 12 23 250  4.0  4.0   0.1    MM    MM  MM     MM  20.2    MM  18.0   MM   MM    MM
2017 06 13 11 53 250  4.0  4.0   0.1    MM    MM  MM     MM  20.0    MM  17.9   MM   MM    MM
2017 06 13 11 15 260  3.0  4.0   0.1    MM    MM  MM     MM  19.9    MM  17.9   MM   MM    MM
2017 06 13 10 53 270  3.0  4.0   0.1    MM    MM  MM     MM  19.8    MM  17.9   MM   MM    MM
2017 06 13 10 45 270  3.0  4.0   0.1    MM    MM  MM     MM  19.7    MM  17.7   MM   MM    MM
2017 06 13 10 30 270  3.0  3.0   0.1    MM    MM  MM     MM  19.7    MM  17.7   MM   MM    MM
2017 06 13 10 15 270  3.0  4.0   0.1    MM    MM  MM     MM  19.8    MM  17.7   MM   MM    MM
2017 06 13 10 00 260  4.0  4.0   0.1    MM    MM  MM     MM  20.0    MM  17.7   MM   MM    MM
2017 06 13 09 53 260  4.0  4.0   0.1    MM    MM  MM     MM  20.0    MM  17.7   MM   MM    MM
2017 06 13 09 30 260  3.0  4.0   0.2    MM    MM  MM     MM  20.2    MM  17.7   MM   MM    MM
2017 06 13 09 00 260  3.0  4.0   0.2    MM    MM  MM     MM  20.2    MM  17.7   MM   MM    MM
2017 06 13 08 53 260  3.0  4.0   0.2    MM    MM  MM     MM  20.2    MM  17.7   MM   MM    MM
2017 06 13 08 45 250  3.0  4.0   0.2    MM    MM  MM     MM  20.2    MM  17.8   MM   MM    MM
2017 06 13 08 15 250  4.0  4.0   0.2    MM    MM  MM     MM  20.4    MM  17.8   MM   MM    MM
2017 06 13 08 00 240  4.0  5.0   0.2    MM    MM  MM     MM  20.6    MM  17.9   MM   MM    MM
2017 06 13 07 53 250  4.0  4.0   0.2    MM    MM  MM     MM  20.4    MM  17.8   MM   MM    MM
2017 06 13 07 30 250  4.0  5.0   0.2    MM    MM  MM     MM  20.6    MM  17.9   MM   MM    MM
2017 06 13 07 00 260  4.0  5.0   0.2    MM    MM  MM     MM  20.9    MM  17.9   MM   MM    MM
2017 06 13 06 53 260  4.0  4.0   0.2    MM    MM  MM     MM  20.7    MM  17.9   MM   MM    MM
2017 06 13 06 45 260  4.0  4.0   0.1    MM    MM  MM     MM  20.9    MM  17.9   MM   MM    MM
2017 06 13 06 30 260  4.0  4.0   0.1    MM    MM  MM     MM  20.8    MM  17.9   MM   MM    MM
2017 06 13 05 53 270  3.0  4.0   0.1    MM    MM  MM     MM  20.5    MM  17.9   MM   MM    MM
2017 06 13 05 45  MM   MM   MM   0.1    MM    MM  MM     MM  20.1    MM  18.0   MM   MM    MM
2017 06 13 04 30 260  3.0  4.0   0.2    MM    MM  MM     MM  21.3    MM  18.0   MM   MM    MM
2017 06 13 04 23 260  3.0  4.0   0.2    MM    MM  MM     MM  21.3    MM  18.0   MM   MM    MM
2017 06 13 03 53 250  4.0  5.0   0.2    MM    MM  MM     MM  21.7    MM  18.0   MM   MM    MM
2017 06 13 03 15 240  5.0  5.0   0.2    MM    MM  MM     MM  21.9    MM  18.0   MM   MM    MM
2017 06 13 02 15 220  5.0  6.0   0.2    MM    MM  MM     MM  22.4    MM  18.0   MM   MM    MM
2017 06 13 01 53 220  5.0  6.0   0.2    MM    MM  MM     MM  22.4    MM  18.0   MM   MM    MM
2017 06 13 01 30 210  4.0  5.0   0.2    MM    MM  MM     MM  22.4    MM  18.3   MM   MM    MM
2017 06 13 01 23 210  4.0  5.0   0.2    MM    MM  MM     MM  22.4    MM  18.3   MM   MM    MM
2017 06 13 01 15 210  5.0  5.0   0.2    MM    MM  MM     MM  22.7    MM  18.3   MM   MM    MM
2017 06 13 00 45 200  5.0  5.0   0.2    MM    MM  MM     MM  22.8    MM  18.4   MM   MM    MM
2017 06 13 00 30 210  5.0  5.0   0.2    MM    MM  MM     MM  22.9    MM  18.3   MM   MM    MM
2017 06 13 00 23 200  5.0  5.0   0.2    MM    MM  MM     MM  22.8    MM  18.4   MM   MM    MM
2017 06 12 23 45 210  6.0  6.0   0.1    MM    MM  MM     MM  24.1    MM  18.6   MM   MM    MM
2017 06 12 23 00 210  5.0  5.0   0.1    MM    MM  MM     MM  23.9    MM  19.0   MM   MM    MM
2017 06 12 22 30 200  5.0  5.0   0.1    MM    MM  MM     MM  25.1    MM  18.6   MM   MM    MM
2017 06 12 22 23 210  5.0  5.0   0.1    MM    MM  MM     MM  23.9    MM  19.0   MM   MM    MM
2017 06 12 22 15 200  4.0  5.0   0.1    MM    MM  MM     MM  24.9    MM  18.6   MM   MM    MM
2017 06 12 21 15 200  3.0  4.0   0.1    MM    MM  MM     MM  24.2    MM  19.7   MM   MM    MM
2017 06 12 20 53 200  4.0  5.0   0.1    MM    MM  MM     MM  24.9    MM  18.6   MM   MM    MM
